full_address,lon,lat,transfer_tax,property_tax,property_tax_list
"1 Dalton St #2605, Boston, 2199",-71.084125,42.345267,369870,2139143.8000000003,"[201000.0, 201000.0, 201000.0, 201000.0, 201000.0, 205608.0, 208735.28, 221130.84, 243221.32, 255448.36000000002]"

"1 Dalton St #2901, Boston, 2115",-71.084125,42.345267,356227,2076117.0,"[195000.0, 195000.0, 195000.0, 195000.0, 195000.0, 199500.0, 202554.0, 214659.0, 236231.76, 248172.24]"

"400 Stuart St #25A, Boston, 2116",-71.074296,42.348853,378965,3411161.64,"[205000.0, 205000.0, 205000.0, 205000.0, 205000.0, 205000.0, 205000.0, 205000.0, 205000.0, 205000.0, 205000.0, 209680.0, 212856.16, 225445.36000000002, 247881.0, 260299.12]"

"1 Dalton St #5001, Boston, 2199",-71.084125,42.345267,416936,2363999.04,"[225000.0, 225000.0, 225000.0, 225000.0, 225000.0, 225000.0, 228360.0, 241677.88, 265412.12, 278549.04000000004]"

"1 Dalton St #5702, Boston, 2115",-71.084125,42.345267,1301883,6487307.840000001,"[621200.0, 621200.0, 621200.0, 621200.0, 621200.0, 621200.0, 629314.4, 661477.16, 718795.3200000001, 750520.96]"

"1 Dalton St #6102, Boston, 2199",-71.084125,42.345267,2829210,13603709.999999998,"[1305000.0, 1305000.0, 1305000.0, 1305000.0, 1305000.0, 1305000.0, 1321320.0, 1386007.04, 1501287.6, 1565095.36]"

"1 Dow Rd, Boston, 2132",-71.166574,42.280424,0,809.97,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 296.41, 513.5600000000001]"

"1 Ernst St, Boston, 2119",-71.099068,42.318763,0,19089.66,"[555.5600000000001, 555.5600000000001, 555.5600000000001, 555.5600000000001, 555.5600000000001, 555.5600000000001, 555.5600000000001, 555.5600000000001, 555.5600000000001, 555.5600000000001, 555.5600000000001, 555.5600000000001, 555.5600000000001, 555.5600000000001, 555.5600000000001, 555.5600000000001, 555.5600000000001, 627.78, 745.96, 883.86, 989.77, 1061.65, 1346.55, 1854.27, 2135.3]"

"1 Fairfield St, Boston, 2116",-71.083471,42.352014,238249,3706427.9199999995,"[145000.0, 145000.0, 145000.0, 145000.0, 145000.0, 145000.0, 145000.0, 145000.0, 145000.0, 145000.0, 145000.0, 145000.0, 145000.0, 145000.0, 145000.0, 145000.0, 145000.0, 145000.0, 145000.0, 145000.0, 145000.0, 147400.0, 156912.8, 173865.80000000002, 183249.32]"

"1 Fairfield Pl #1, Boston, 2109",-71.052907,42.365432,0,1999.47,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51.68, 289.11, 712.24, 946.44]"

"1 Fairfield Pl #2, Boston, 2109",-71.052907,42.365432,0,1999.47,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51.68, 289.11, 712.24, 946.44]"

"1 Fairland St, Boston, 2119",-71.07782,42.325638,0,46243.96000000001,"[1600.0, 1600.0, 1600.0, 1600.0, 1600.0, 1600.0, 1600.0, 1600.0, 1600.0, 1600.0, 1600.0, 1600.0, 1600.0, 1600.0, 1600.0, 1600.0, 1606.5900000000001, 1692.48, 1833.02, 1997.02, 2122.96, 2208.44, 2547.23, 3151.01, 3485.21]"

