first_year_payment,yearly_payments,down_payment,adjusted_price,lat,lon,price,usage,style
22286,14687,7599,192458,42.289361,-71.065918,135600,CONDOMINIUM,LOW-RISE
74815,18042,56773,283862,42.323968,-71.077225,200000,3-FAM RES,CONVENTIONAL
231324,21509,209815,480543,42.287885,-71.142658,355000,1-FAM RES,DUPLEX
297442,71730,225712,1128558,42.376702,-71.035848,930625,2-FAM RES,ROW-MIDDLE
1038752,250504,788248,3941239,42.345411,-71.074062,3250000,2-FAM RES,ROW-MIDDLE
194965,47017,147948,739740,42.355225,-71.072979,610000,CONDOMINIUM,ROW-MIDDLE
159255,38405,120850,604249,42.355225,-71.072979,470000,CONDOMINIUM,ROW-MIDDLE
341266,82299,258967,1294833,42.30283,-71.071502,1100000,2-FAM RES,CONVENTIONAL
219053,52826,166227,831136,42.361777,-71.130991,614000,3-FAM RES,CONVENTIONAL
962603,232140,730463,3652312,42.359429,-71.068358,3102750,1-FAM RES,ROW-MIDDLE
195343,186910,8433,2360988,42.365532,-71.058281,2100000,MXU RES+COM,RAISED CAPE
438696,105795,332901,1664504,42.358923,-71.069723,1177465,9 + UNIT APT,CONDO/APT
1390969,335444,1055525,5277622,42.344588,-71.144269,4250000,OTHER EXEMPT,CONDO/APT
668174,37575,630599,1103547,42.35373,-71.075118,910000,CONDOMINIUM,ROW-MIDDLE
106894,57222,49672,769912,42.275251,-71.061971,620000,1-FAM RES,COLONIAL
195453,47135,148318,741586,42.263422,-71.121353,630000,2-FAM RES,TWO FAMILY
199070,48007,151063,755312,42.385848,-71.004726,587500,3-FAM RES,DECKER
194834,46985,147849,739241,42.385799,-71.0046,575000,3-FAM RES,DECKER
144347,34810,109537,547681,42.376874,-71.050834,426000,CONDOMINIUM,LOW-RISE
244460,58953,185507,927531,42.371652,-71.035688,825000,3-FAM RES,ROW-MIDDLE
771789,186123,585666,2928326,42.356571,-71.071501,2280000,1-FAM RES,ROW-MIDDLE
61899,14927,46972,234857,42.30884,-71.077823,173500,2-FAM RES,CONVENTIONAL
132493,31951,100542,502706,42.340324,-71.14184,422000,CONDOMINIUM,LOW-RISE
92073,22204,69869,349344,42.368599,-71.036982,272000,1-FAM RES,CONVENTIONAL
481190,116043,365147,1825734,42.379919,-71.067716,1440000,1-FAM RES,CONDO/APT
186086,44876,141210,706047,42.299758,-71.081728,628000,3-FAM RES,CONVENTIONAL
175098,42226,132872,664359,42.325182,-71.075599,535000,1-FAM RES,SEMI DETACHD
275753,66500,209253,1046263,42.353476,-71.146211,650000,3-FAM RES,DECKER
645782,155736,490046,2450229,42.365766,-71.05655,1810100,9 + UNIT APT,CONDO/APT
46609,19611,26998,273840,42.373991,-71.063299,213000,CONDOMINIUM,LOW-RISE
1005821,242562,763259,3816292,42.348253,-71.061579,3010000,MXU RES+COM,CONDO/APT
651301,157067,494234,2471169,42.366725,-71.036782,1990000,1-FAM RES,CONDO/APT
367559,88640,278919,1394592,42.385755,-71.004477,1150000,3-FAM RES,DECKER
6271,1512,4759,23795,42.336205,-71.086256,18768,MXU RES+COM,CONDO/APT
294729,71076,223653,1118265,42.27467,-71.070025,950000,4-8 UNIT APT,CONDO/APT
98412,27979,70432,352164,42.311726,-71.090323,240000,2-FAM RES,CONVENTIONAL
95885,23123,72762,363806,42.342918,-71.097177,300000,CONDOMINIUM,LOW-RISE
391068,94309,296759,1483791,42.358921,-71.069833,1049629,9 + UNIT APT,CONDO/APT
201657,48631,153026,765128,42.377641,-71.035629,650000,2-FAM RES,CONVENTIONAL
142046,97374,44672,1270287,42.303648,-71.105713,972500,3-FAM RES,DECKER
423553,102143,321410,1607047,42.31806,-71.09039,1250000,4-8 UNIT APT,CONDO/APT
456565,110104,346461,1732302,42.374822,-71.063094,1395000,MXU RES+COM,SEMI DETACHD
7451,1796,5655,28272,42.373082,-71.036218,20000,LIVE THEATRE,RAISED CAPE
471270,133985,337285,2023704,42.330186,-71.037135,1800000,3-FAM RES,SEMI DETACHD
223668,53939,169729,848645,42.305178,-71.061291,660757,4-8 UNIT APT,CONDO/APT
392456,94644,297812,1489058,42.325928,-71.058719,1250000,3-FAM RES,DECKER
59491,14346,45145,225722,42.372633,-71.03575,145000,4-8 UNIT APT,CONDO/APT
237189,57200,179989,899946,42.335269,-71.045931,700000,RETAIL STORE,RAISED CAPE
1439207,488268,950939,7096555,42.36288,-71.053893,5000000,9 + UNIT APT,CONDO/APT
321088,77433,243655,1218278,42.362241,-71.054721,900000,MXU RES+COM,RAISED CAPE
157242,37920,119322,596610,42.325256,-71.071935,450000,4-8 UNIT APT,CONDO/APT
277055,66814,210241,1051201,42.386248,-71.005212,935000,2-FAM RES,TWO FAMILY
735003,177252,557751,2788754,42.345374,-71.074203,2135000,1-FAM RES,ROW-MIDDLE
243034,58524,184510,921132,42.355142,-71.073285,649000,CONDOMINIUM,ROW-MIDDLE
210263,77249,133014,1105316,42.280706,-71.07874,939000,3-FAM RES,DECKER
97242,23450,73792,368958,42.288325,-71.0587,261000,3-FAM RES,DECKER
120552,29072,91480,457401,42.28229,-71.070713,345000,3-FAM RES,DECKER
291627,70328,221299,1106493,42.317364,-71.089936,940000,3-FAM RES,ROW-MIDDLE
335061,80803,254258,1271290,42.372672,-71.040425,1080000,MXU RES+COM,RAISED CAPE
71074,17140,53934,269669,42.324972,-71.077062,190000,MEDICAL OFFC,CONDO/APT
5177,1248,3929,19645,42.265277,-71.166497,14063,1-FAM RES,RANCH
65168,15715,49453,247261,42.347058,-71.088989,177000,CONDOMINIUM,LOW-RISE
69218,16692,52526,262628,42.347058,-71.088989,188000,CONDOMINIUM,LOW-RISE
79181,19095,60086,300427,42.347058,-71.088989,230000,CONDOMINIUM,LOW-RISE
20491,4941,15550,77749,42.28694,-71.090328,55000,CONDOMINIUM,FREE-STANDNG
22552,6411,16140,80704,42.28694,-71.090328,55000,CONDOMINIUM,FREE-STANDNG
743759,179364,564395,2821975,42.351787,-71.067367,2195000,CONDOMINIUM,HIGH-RISE
793804,191433,602371,3011855,42.360257,-71.067722,2225000,4-8 UNIT APT,CONDO/APT
166296,40103,126193,630961,42.309789,-71.061777,430000,3-FAM RES,DECKER
460709,111104,349605,1748024,42.360642,-71.067809,1485000,1-FAM RES,ROW-MIDDLE
279217,67335,211882,1059409,42.302969,-71.131745,900000,1-FAM RES,COLONIAL
417700,100732,316968,1584839,42.35206,-71.170505,1250000,3-FAM RES,DECKER
211926,51107,160819,804091,42.333452,-71.037269,675000,1-FAM RES,ROW-MIDDLE
1503719,362635,1141084,5705420,42.346266,-71.08654,4500000,9 + UNIT APT,CONDO/APT
162684,39232,123452,617257,42.382854,-71.07825,365000,3-FAM RES,DECKER
355369,85700,269669,1348345,42.332439,-71.100193,950000,3-FAM RES,DECKER
74,17,57,282,42.341056,-71.078459,200,4-8 UNIT APT,CONDO/APT
287654,69370,218284,1091420,42.288153,-71.129974,900000,1-FAM RES,CONDO/APT
184703,35550,149153,596610,42.318962,-71.060422,450000,3-FAM RES,DECKER
257520,62103,195417,977084,42.389829,-70.999312,760000,3-FAM RES,DECKER
